# Pathway	5492_S3_Coverage	5501_S5_Coverage
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.0000000000	0.0000000000
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	1.0000000000	0.9938956956
HISDEG-PWY: L-histidine degradation I	0.9995766143	0.9863044015
HISTSYN-PWY: L-histidine biosynthesis	1.0000000000	1.0000000000
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.0000000000	0.0000000000
HSERMETANA-PWY: L-methionine biosynthesis III	0.0000000000	0.0000000000
ILEUDEG-PWY: L-isoleucine degradation I	0.0000000000	0.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1.0000000000	1.0000000000
KETOGLUCONMET-PWY: ketogluconate metabolism	0.0000000000	0.0000000000
LEU-DEG2-PWY: L-leucine degradation I	0.0000000000	0.0000000000
LIPASYN-PWY: phospholipases	0	0.0000000000
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.0000000000	0.0000000000
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.0000000000	0.0000000000
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation	0.0000000000	0.0000000000
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.0000000000	0.0000000000
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.0000000000	0.0000000000
NADSYN-PWY: NAD biosynthesis II (from tryptophan)	0.0000000000	0
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.0000000000	0.0000000000
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.0000000000	0.0000000000
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.0000000000	0.0000000000
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.0416814819	0.1113539281
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0.0000000000	0
P101-PWY: ectoine biosynthesis	0.0000000000	0.0000000000
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.0000000000	0.0000000000
P108-PWY: pyruvate fermentation to propanoate I	0.0000000000	0.0000000000
P122-PWY: heterolactic fermentation	0	0.0000000000
P124-PWY: Bifidobacterium shunt	0.0000000000	0
P161-PWY: acetylene degradation	0.0000000000	0.0000000000
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)	0.0000000000	0.0000000000
P281-PWY: 3-phenylpropanoate degradation	0.0000000000	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0.0000000000	0.0000000000
P562-PWY: myo-inositol degradation I	0	0.0000000000
PANTO-PWY: phosphopantothenate biosynthesis I	0.0000000000	0.0000000002
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000	0.0000000000
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.0000001875	0.8080610628
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.0000000000	0.0000000000
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0.0000000000	0.0000000000
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.0000000000	0.0000000000
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.0000000000	0.0000000000
PPGPPMET-PWY: ppGpp biosynthesis	0.0000000000	0.0000000000
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0.0000000000	0.0000000000
PWY-1042: glycolysis IV (plant cytosol)	0.0000000000	0.0000000000
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.0000000000	0.0000000000
PWY-1361: benzoyl-CoA degradation I (aerobic)	0.0000000000	0.0000000000
PWY-1501: mandelate degradation I	0.0000000000	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0.0000000000	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.0000000000	0.0000000000
PWY-2723: trehalose degradation V	0.0000000000	0.0000000000
PWY-2941: L-lysine biosynthesis II	0.0000000000	0.0000000000
PWY-2942: L-lysine biosynthesis III	0.9999985046	1.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000	0.0000000000
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	0.0000000000	0
PWY-3781: aerobic respiration I (cytochrome c)	1.0000000000	1.0000000000
PWY-3841: folate transformations II	1.0000000000	0.0000000000
PWY-3941: &beta;-alanine biosynthesis II	0.0000000000	0.0000000000
PWY-4221: pantothenate and coenzyme A biosynthesis II (plants)	0.0000000000	0.0000000000
PWY-4242: pantothenate and coenzyme A biosynthesis III	0.0000000000	0.0000000002
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	0.0000000000	0
PWY-4702: phytate degradation I	0	0.0000000000
PWY-4981: L-proline biosynthesis II (from arginine)	0.0000000000	0.0000000000
PWY-4984: urea cycle	0.0000000000	0.0000000000
PWY-5005: biotin biosynthesis II	0.0000000000	0.0000000000
PWY-5022: 4-aminobutanoate degradation V	0.0000000000	0.0000000000
PWY-5028: L-histidine degradation II	0.0000000000	0.0000000000
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	0.0000000000	0.0000000000
PWY-5097: L-lysine biosynthesis VI	0.4671826058	0.9999732152
PWY-5100: pyruvate fermentation to acetate and lactate II	0.0000000000	0.0000000000
PWY-5103: L-isoleucine biosynthesis III	1.0000000000	1.0000000000
PWY-5104: L-isoleucine biosynthesis IV	0.0000000000	0.0000000000
PWY-5109: 2-methylbutanoate biosynthesis	0.0000000000	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.0000000000	0.0000000000
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	1.0000000000	1.0000000000
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	0.0000000000	1.0000000000
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.0000000000	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis	0.0094435898	0.9574273291
PWY-5178: toluene degradation IV (aerobic) (via catechol)	0.0000000000	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0.0000000000	0.0000000000
PWY-5181: toluene degradation III (aerobic) (via p-cresol)	0.0000000000	0.0000000000
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol)	0.0000000000	0.0000000000
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.0000000000	0.0000000000
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.0000000000	0.0000000000
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	0.0000000000	0.0000000000
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.0000000000	0.0000000000
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.0000000000	0.0000000000
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.0000000000	0.0000000000
PWY-5415: catechol degradation I (meta-cleavage pathway)	0.0000000000	0.0000000000
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0.0000000000	0.0000000000
PWY-5419: catechol degradation to 2-oxopent-4-enoate II	0	0.0000000000
PWY-5420: catechol degradation II (meta-cleavage pathway)	0	0.0000000000
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0.0000000000	0.0000000000
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	0.0000000000	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0000000000	0.0000000000
PWY-5505: L-glutamate and L-glutamine biosynthesis	0.0000000000	0.0000000000
PWY-5508: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II	0	0.0000000000
PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	0	0.0000000000
PWY-5534: propylene degradation	0.0000000000	0.0000000000
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.0000000000	0.0000000000
PWY-5647: 2-nitrobenzoate degradation I	0.0000000000	0
PWY-5651: L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.0000000000	0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	0.0000000000	0
PWY-5659: GDP-mannose biosynthesis	0.0000000000	0.0000000000
PWY-5667: CDP-diacylglycerol biosynthesis I	0.0000000000	0.0000000000
PWY-5675: nitrate reduction V (assimilatory)	0.0000000000	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000	0.0000000000
PWY-5686: UMP biosynthesis	1.0000000000	1.0000000000
PWY-5690: TCA cycle II (plants and fungi)	0.0000000000	0.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	1.0000000000	1.0000000000
PWY-5705: allantoin degradation to glyoxylate III	0.0000000000	0.0000000000
PWY-5723: Rubisco shunt	0.0000000000	0.0000000000
PWY-5747: 2-methylcitrate cycle II	0.0000000000	0.0000000000
PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	0.0000000000	0.0000000000
PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I	0.0000000000	0.0000000000
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.0000000000	0.0000000000
PWY-5840: superpathway of menaquinol-7 biosynthesis	0.0000000000	0.0000000000
PWY-5845: superpathway of menaquinol-9 biosynthesis	0.0000000000	0
PWY-5850: superpathway of menaquinol-6 biosynthesis I	0.0000000000	0
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	0.9999999948	0.0000000000
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	0.9999999948	0.0000000000
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	0.9999999948	0.0000000000
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0.0000000000	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	0.0000000000	0.0000000000
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0.0000000000	0
PWY-5863: superpathway of phylloquinol biosynthesis	0.0000000000	0.0000000000
PWY-5896: superpathway of menaquinol-10 biosynthesis	0.0000000000	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0.0000000000	0.0000000000
PWY-5898: superpathway of menaquinol-12 biosynthesis	0.0000000000	0.0000000000
PWY-5899: superpathway of menaquinol-13 biosynthesis	0.0000000000	0.0000000000
PWY-5913: TCA cycle VI (obligate autotrophs)	0.0000000000	0.0000000000
PWY-5918: superpathay of heme biosynthesis from glutamate	0.0000000000	0.0000000000
PWY-5920: superpathway of heme biosynthesis from glycine	0.0000000000	0.0000000000
PWY-5941: glycogen degradation II (eukaryotic)	0.0000000000	0.0000000000
PWY-5973: cis-vaccenate biosynthesis	0.0000000000	0.0000000000
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0000000000	0.0000000000
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	1.0000000000	1.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	1.0000000000	1.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I	1.0000000000	1.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	1.0000000000	1.0000000000
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	1.0000000000	1.0000000000
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0000000000	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000	0.0000000000
PWY-6151: S-adenosyl-L-methionine cycle I	0.0000000000	0.0000000000
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.0000000000	0.0000000000
PWY-6168: flavin biosynthesis III (fungi)	0.0000000000	0.0000000000
PWY-6182: superpathway of salicylate degradation	0.0000000000	0.0000000000
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0.0000000000	0.0000000000
PWY-622: starch biosynthesis	0.0000000000	0.0000000000
PWY-6270: isoprene biosynthesis I	0.0000000000	0.0000000000
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	1.0000000000	1.0000000000
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0000000000	0.0000000000
PWY-6305: putrescine biosynthesis IV	0.0000000000	0.0000000000
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	0.0000000000	0.0000000000
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0.0000000000	0.0000000000
PWY-6313: serotonin degradation	0.0000000000	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)	0.0000000000	0.0000000000
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0.0000000000	0.0000000000
PWY-6338: superpathway of vanillin and vanillate degradation	0.0000000000	0.0000000000
PWY-6353: purine nucleotides degradation II (aerobic)	0.0000000000	0.0000000000
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.0000001875	0.8080610628
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0000000001	0.8013762002
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.0000001500	0.7710618641
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.0000000000	0.0000000000
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0000000000	0.0000000000
PWY-6527: stachyose degradation	0.0000000000	0.0000000000
PWY-6538: caffeine degradation III (bacteria, via demethylation)	0.0000000000	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0.0000000000	0.0000000000
PWY-6549: L-glutamine biosynthesis III	0.0000000000	0.0000000000
PWY-6562: norspermidine biosynthesis	0.0000000000	0.0000000000
PWY-6565: superpathway of polyamine biosynthesis III	0.0000000000	0.0000000000
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0.0000000000	0.0000000000
PWY-6606: guanosine nucleotides degradation II	0.0000000000	0.0000000000
PWY-6608: guanosine nucleotides degradation III	1.0000000000	0.0000000000
PWY-6609: adenine and adenosine salvage III	0.0000000000	0.0000000000
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0.0000000000	0.0000000000
PWY-6628: superpathway of L-phenylalanine biosynthesis	0.0000000000	0.0000000000
PWY-6641: superpathway of sulfolactate degradation	0.0000000000	0.0000000000
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	0.0000000000	0.0000000000
PWY-6700: queuosine biosynthesis	1.0000000000	1.0000000000
PWY-6703: preQ0 biosynthesis	0.9884532807	1.0000000000
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	0.9999999948	0.0000000000
PWY-6737: starch degradation V	0.0000000000	0.0000000000
PWY-6749: CMP-legionaminate biosynthesis I	0.0000000000	0.0000000000
PWY-6803: phosphatidylcholine acyl editing	0.0000000000	0.0000000000
PWY-6823: molybdenum cofactor biosynthesis	0	0.0000000000
PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	0.0000000000	0.0000000000
PWY-6859: all-trans-farnesol biosynthesis	0.0000000000	0.0000000000
PWY-6897: thiamin salvage II	0.0000000000	0.0000000000
PWY-6936: seleno-amino acid biosynthesis	1.0000000000	0.0175470811
PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis	0.0000000000	0
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0.0000000000	0.0000000000
PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	0.0000000000	0
PWY-7094: fatty acid salvage	0.0000000000	0.0000000000
PWY-7097: vanillin and vanillate degradation I	0.0000000000	0.0000000000
PWY-7098: vanillin and vanillate degradation II	0.0000000000	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)	1.0000000000	1.0000000000
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	0.0000000000	0.0000000000
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	0.0000000000	0.0000000000
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway)	0.0000000000	0.0000000000
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	0.7040273663	0.0000000000
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0.0000000000	0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.5139014202	0.0007177685
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.0000000000	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.0834134071	0.0000000000
PWY-7208: superpathway of pyrimidine nucleobases salvage	1.0000000000	1.0000000000
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	0.0000000000	0.0000000000
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	0.0000000000	0.0000000000
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	0.0000000000	0.0000000000
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1.0000000000	1.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	1.0000000000	1.0000000000
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1.0000000000	1.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	1.0000000000	1.0000000000
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	1.0000000000	1.0000000000
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0000000000	0.0000000000
PWY-722: nicotinate degradation I	0.0000000000	0
PWY-7234: inosine-5'-phosphate biosynthesis III	0.5729586668	0.0514253547
PWY-7237: myo-, chiro- and scillo-inositol degradation	0	0.0000000000
PWY-7242: D-fructuronate degradation	0.0000000000	0.0000000000
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.0000000000	0.0000000000
PWY-7254: TCA cycle VII (acetate-producers)	0.0000000000	0.0000000000
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	1.0000000000	0.0000000000
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	1.0000000000	0.0000000000
PWY-7270: L-methionine salvage cycle II (plants)	0.0000000000	0
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	1.0000000000	1.0000000000
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	0.0000000000	0.0000000000
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis	0.0000000000	0.0000000000
PWY-7316: dTDP-N-acetylviosamine biosynthesis	0.0000000000	0.0000000000
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	0.0000000000	0.0000000000
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.0000000000	0.0000000000
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.0000000000	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000	0.0000000000
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	0.9999979557	1.0000000000
PWY-7392: taxadiene biosynthesis (engineered)	0.0000000000	0.0000000000
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	1.0000000000	1.0000000000
PWY-7431: aromatic biogenic amine degradation (bacteria)	0.0000000000	0.0000000000
PWY-7527: L-methionine salvage cycle III	0.0000000000	0
PWY-7528: L-methionine salvage cycle I (bacteria and plants)	0.0000000000	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0.0000000000	0.0000000000
PWY-7560: methylerythritol phosphate pathway II	0.0000000000	0.0000000000
PWY-7616: methanol oxidation to carbon dioxide	0.0000000000	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.9999976150	1.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0000000000	0.0000000000
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	0.0000000000	0.0000000000
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.0000000000	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis	0.0000000000	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.0000000000	0.0000000000
PWY0-1261: anhydromuropeptides recycling	0.0000000000	0.0000000000
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0.0000000000	0.0000000000
PWY0-1296: purine ribonucleosides degradation	0.8650014684	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000	0.0000000000
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0.0000000000	0.0000000000
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.0000000000	0.0000000000
PWY0-1479: tRNA processing	0.0000000000	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1.0000000000	1.0000000000
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.9962066789	0.0000000000
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.7255001864	0.0000000000
PWY0-42: 2-methylcitrate cycle I	0.0000000000	0.0000000000
PWY0-781: aspartate superpathway	0.0000000000	0.0000000000
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	0.0000000000	0.0000000000
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	0.0000000000	0.0000000000
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	0.0000000000	0.0000000000
PWY1G-0: mycothiol biosynthesis	0.0000000000	0.0000000000
PWY3DJ-35471: L-ascorbate biosynthesis IV	0.0000000000	0.0000000000
PWY3O-355: stearate biosynthesis III (fungi)	0.0000000000	0.0000000000
PWY490-3: nitrate reduction VI (assimilatory)	0.0000000000	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000000	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000000	0.0000000000
PWY5F9-12: biphenyl degradation	0.0000000000	0.0000000000
PWY66-389: phytol degradation	0.0000000000	0.0000000000
PWY66-398: TCA cycle III (animals)	0.0000000000	0
PWY66-399: gluconeogenesis III	0.0000000000	0.0000000000
PWY66-400: glycolysis VI (metazoan)	0.0000000000	0.0000000000
PWY66-409: superpathway of purine nucleotide salvage	0.0000000000	0.0000000000
PWY66-422: D-galactose degradation V (Leloir pathway)	0.0000000000	0.0000000000
PWYG-321: mycolate biosynthesis	0.0000000000	0.0000000000
PYRIDNUCSAL-PWY: NAD salvage pathway I	0.0000000000	0.0000000000
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.0000000000	0.0000000000
REDCITCYC: TCA cycle VIII (helicobacter)	0.0000000000	0.0000000000
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0.0000000000	0.0000000000
RUMP-PWY: formaldehyde oxidation I	0.0000000000	0
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	1.0000000000	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000047150	0.9999998275
