# Pathway	5492_S3_Abundance	5501_S5_Abundance
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	499.9064434147	673.3821989516
ARO-PWY: chorismate biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	303.7732197929	796.8521062919
ARO-PWY: chorismate biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	272.2822129978	600.8401365039
ARO-PWY: chorismate biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	534.2471153997	0
ARO-PWY: chorismate biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2462.2451174246	1754.8334450529
ARO-PWY: chorismate biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	43.7075752092
ARO-PWY: chorismate biosynthesis I|unclassified	861.3527080219	1318.3942336687
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	92.0627979485	413.6333770986
AST-PWY: L-arginine degradation II (AST pathway)|unclassified	282.9479266499	328.7604168376
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	684.1843470212	929.0880157494
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1450.6437426147	3171.8659629475
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	345.3772764008	678.0688146063
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1172.0050888584	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Massilia.s__Massilia_sp_LC238	3940.8076692876	3163.8859494428
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	38.2722159206	65.8239883285
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	602.4828546994	871.8979263322
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Acidovorax.s__Acidovorax_avenae	694.3109742865	1596.0390136076
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Caulobacter.s__Caulobacter_sp_774	268.8848888484	527.8138943150
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	808.6798669399	633.7855127751
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate|unclassified	1260.6615010474	633.2773465100
CITRULBIO-PWY: L-citrulline biosynthesis|g__Acidovorax.s__Acidovorax_avenae	842.7440406451	2183.8609005409
CITRULBIO-PWY: L-citrulline biosynthesis|unclassified	368.0713582430	489.5304281464
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Acidovorax.s__Acidovorax_avenae	402.4742983905	960.2147518525
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Caulobacter.s__Caulobacter_sp_774	270.2820902636	591.3222816938
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Massilia.s__Massilia_sp_BSC265	478.8212724466	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Massilia.s__Massilia_sp_LC238	2610.9842114638	1783.1298552219
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Sphingobium.s__Sphingobium_yanoikuyae	0	53.5090136639
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	1256.1543916526	1848.5763269164
COA-PWY: coenzyme A biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	559.7860736604	1351.2179138514
COA-PWY: coenzyme A biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	270.2820902636	591.3222816938
COA-PWY: coenzyme A biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	527.5773833123	0
COA-PWY: coenzyme A biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2839.9442310390	2038.3563669012
COA-PWY: coenzyme A biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	61.3655844972
COA-PWY: coenzyme A biosynthesis I|unclassified	1031.0745756562	1502.5070548595
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Caulobacter.s__Caulobacter_sp_774	196.7880929613	439.5380688526
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Massilia.s__Massilia_sp_BSC265	223.3266945714	0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Massilia.s__Massilia_sp_LC238	1965.8417634463	1105.8238127565
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	36.4938252543
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|unclassified	1250.8850899961	1196.1020384612
COLANSYN-PWY: colanic acid building blocks biosynthesis|unclassified	731.2803498666	1234.2945669948
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Acidovorax.s__Acidovorax_avenae	336.9238481726	885.2381207939
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	274.9595754382	608.4694025694
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Massilia.s__Massilia_sp_BSC265	586.7023639000	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Massilia.s__Massilia_sp_LC238	2682.4122322936	1903.7708462803
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	0	45.1825451430
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	908.2659635426	1405.6390682834
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	637.7086902683	1537.5072568538
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	286.9674713362	581.4692865370
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	849.9812785618	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2366.8503193243	1960.8227639277
DAPLYSINESYN-PWY: L-lysine biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	54.7154908425
DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified	477.9397080032	648.6299514388
DENITRIFICATION-PWY: nitrate reduction I (denitrification)|unclassified	167.4309701741	31.7972281160
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified	293.5200619374	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	670.1856754226	1470.1574407119
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	542.5871835390	1171.3146126484
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Massilia.s__Massilia_sp_LC238	1029.4643443070	212.7741325845
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	30.4620715251	65.9667877823
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified	2432.3392540444	2294.8548349604
FAO-PWY: fatty acid &beta;-oxidation I|g__Acidovorax.s__Acidovorax_avenae	1565.1355753017	3830.2806223827
FAO-PWY: fatty acid &beta;-oxidation I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	39.5527877025
FAO-PWY: fatty acid &beta;-oxidation I|unclassified	3175.6024519691	2553.7555136737
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Acidovorax.s__Acidovorax_avenae	1631.1071815642	4329.8870691435
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Caulobacter.s__Caulobacter_sp_774	372.2050442207	818.0125913908
FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified	847.8306458685	1225.9081442201
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Acidovorax.s__Acidovorax_avenae	786.8500902074	2187.7520723040
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Caulobacter.s__Caulobacter_sp_774	246.2881752149	486.9795392815
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Massilia.s__Massilia_sp_BSC265	91.3330108953	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|g__Massilia.s__Massilia_sp_LC238	207.0302286866	243.7922380963
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified	748.0121236606	993.1697767588
FERMENTATION-PWY: mixed acid fermentation|unclassified	0	197.4100294571
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|unclassified	179.8314786648	407.6583252463
GALACTARDEG-PWY: D-galactarate degradation I|unclassified	156.9382756280	191.4002655074
GALACTUROCAT-PWY: D-galacturonate degradation I|unclassified	0	27.6997673834
GALLATE-DEGRADATION-I-PWY: gallate degradation II|unclassified	192.5718457895	77.2034889370
GLUCARDEG-PWY: D-glucarate degradation I|unclassified	159.0546271012	197.0775662733
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation|unclassified	156.9382756280	191.4002655074
GLUCONEO-PWY: gluconeogenesis I|unclassified	132.1094812898	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Massilia.s__Massilia_sp_BSC265	449.0606527125	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Massilia.s__Massilia_sp_LC238	1808.0476279048	1288.2578591186
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|unclassified	455.7817208129	749.5946640135
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|unclassified	0	28.8336306945
GLUDEG-I-PWY: GABA shunt|unclassified	334.8823203367	83.9163452797
GLUTORN-PWY: L-ornithine biosynthesis|g__Acidovorax.s__Acidovorax_avenae	910.2116324478	2246.0567621498
GLUTORN-PWY: L-ornithine biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	265.3271592090	534.0037282972
GLUTORN-PWY: L-ornithine biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1275.5525426030	0
GLUTORN-PWY: L-ornithine biosynthesis|g__Massilia.s__Massilia_sp_LC238	2793.1829758307	2338.2137390379
GLUTORN-PWY: L-ornithine biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	25.7968360848	44.5545766794
GLUTORN-PWY: L-ornithine biosynthesis|unclassified	626.3004664370	766.6396216230
GLYCOCAT-PWY: glycogen degradation I (bacterial)|unclassified	344.1383822350	490.8036369213
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	385.1781613249	790.6109497372
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|unclassified	280.9224144472	473.6918703421
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass|unclassified	338.2603322671	584.5022619799
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	448.6842025282	583.4857575451
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Acidovorax.s__Acidovorax_avenae	800.6058130798	1705.3833289709
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Caulobacter.s__Caulobacter_sp_774	276.5306354163	520.9767476083
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Sphingobium.s__Sphingobium_yanoikuyae	32.6061213675	54.7770304174
GLYOXYLATE-BYPASS: glyoxylate cycle|unclassified	499.1389688121	719.2684485672
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate|unclassified	297.0802843259	112.6001868730
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|g__Acidovorax.s__Acidovorax_avenae	575.7782948901	1446.9838558566
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|g__Caulobacter.s__Caulobacter_sp_774	220.9608393422	514.1490152334
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|g__Massilia.s__Massilia_sp_BSC265	1202.3624407808	0
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|g__Massilia.s__Massilia_sp_LC238	2557.8791417168	1919.5698222844
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|g__Sphingobium.s__Sphingobium_yanoikuyae	0	42.7924769324
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)|unclassified	536.3068192746	961.7594822572
HISDEG-PWY: L-histidine degradation I|g__Acidovorax.s__Acidovorax_avenae	486.7744792609	1189.1602016288
HISDEG-PWY: L-histidine degradation I|g__Caulobacter.s__Caulobacter_sp_774	219.3367400262	464.5343143235
HISDEG-PWY: L-histidine degradation I|g__Massilia.s__Massilia_sp_BSC265	647.6241313734	0
HISDEG-PWY: L-histidine degradation I|g__Massilia.s__Massilia_sp_LC238	2050.2085121641	1542.4672749424
HISDEG-PWY: L-histidine degradation I|g__Sphingobium.s__Sphingobium_yanoikuyae	20.9191035888	38.6634061223
HISDEG-PWY: L-histidine degradation I|unclassified	601.0620380191	576.0061124831
HISTSYN-PWY: L-histidine biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1027.3872233733	2359.8499641325
HISTSYN-PWY: L-histidine biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	261.1803217618	568.9926703325
HISTSYN-PWY: L-histidine biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1306.9330890862	0
HISTSYN-PWY: L-histidine biosynthesis|g__Massilia.s__Massilia_sp_LC238	2566.8795059987	2726.1788315554
HISTSYN-PWY: L-histidine biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	0	47.5700025362
HISTSYN-PWY: L-histidine biosynthesis|unclassified	679.6919328961	770.2771313390
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	564.2119603441	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2568.4131045289	1468.1520068813
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	391.8052023072	444.4886788642
HSERMETANA-PWY: L-methionine biosynthesis III|g__Caulobacter.s__Caulobacter_sp_774	300.1750876739	630.2686524291
HSERMETANA-PWY: L-methionine biosynthesis III|g__Massilia.s__Massilia_sp_BSC265	489.2038907058	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Massilia.s__Massilia_sp_LC238	2305.2161372126	1286.1142124286
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	735.4938403024	932.7994881272
ILEUDEG-PWY: L-isoleucine degradation I|g__Acidovorax.s__Acidovorax_avenae	842.6066081484	2221.8503443285
ILEUDEG-PWY: L-isoleucine degradation I|g__Sphingobium.s__Sphingobium_yanoikuyae	28.3095219264	42.2123869086
ILEUDEG-PWY: L-isoleucine degradation I|unclassified	686.7316253027	1366.6707616937
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Acidovorax.s__Acidovorax_avenae	1513.9516442880	3315.7862948483
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Caulobacter.s__Caulobacter_sp_774	374.1529052921	734.7689725053
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Massilia.s__Massilia_sp_BSC265	2345.6670757441	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Massilia.s__Massilia_sp_LC238	4183.5750838201	3795.2829086963
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Sphingobium.s__Sphingobium_yanoikuyae	40.1295330146	77.5479226545
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	724.2917795264	990.2656424728
KETOGLUCONMET-PWY: ketogluconate metabolism|unclassified	43.8658688063	0
LEU-DEG2-PWY: L-leucine degradation I|g__Acidovorax.s__Acidovorax_avenae	753.8784718488	1892.2656430690
LEU-DEG2-PWY: L-leucine degradation I|unclassified	393.2480535488	616.9469633335
LIPASYN-PWY: phospholipases|unclassified	0	62.3135677870
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Massilia.s__Massilia_sp_BSC265	732.3350504240	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Massilia.s__Massilia_sp_LC238	2728.2644151540	1748.7851455580
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	386.9780758212	511.1605062518
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation|unclassified	225.7703910770	93.1091793135
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Massilia.s__Massilia_sp_BSC265	759.6197443883	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Massilia.s__Massilia_sp_LC238	2739.1558223287	1805.6504872448
METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified	425.1465716428	552.1551794514
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|unclassified	82.2066343986	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Massilia.s__Massilia_sp_BSC265	271.2238181448	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Massilia.s__Massilia_sp_LC238	1965.5361700335	1391.3098835709
NAGLIPASYN-PWY: lipid IVA biosynthesis|unclassified	660.4731297659	890.2975426247
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	179.9372885135	296.9814182112
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Acidovorax.s__Acidovorax_avenae	1248.2547799113	2931.8450106194
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Caulobacter.s__Caulobacter_sp_774	293.1397454136	569.7337003923
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	772.3968318251	519.8972982922
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Acidovorax.s__Acidovorax_avenae	477.8278604632	1137.7538938836
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Caulobacter.s__Caulobacter_sp_774	312.3127085219	615.2238988362
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Massilia.s__Massilia_sp_LC238	1300.6233025193	314.3119046866
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Sphingobium.s__Sphingobium_yanoikuyae	23.4384688804	53.3572784765
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	968.6783252240	1270.5399564527
P101-PWY: ectoine biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	50.9488367553	76.4825795195
P101-PWY: ectoine biosynthesis|unclassified	28.4328534304	44.0703332852
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	573.2148953120	584.2353933038
P108-PWY: pyruvate fermentation to propanoate I|unclassified	238.2177936058	307.6690862970
P124-PWY: Bifidobacterium shunt|unclassified	172.3255887543	0
P161-PWY: acetylene degradation|unclassified	986.9274252024	457.0018308917
P184-PWY: protocatechuate degradation I (meta-cleavage pathway)|unclassified	251.6267153782	0
P281-PWY: 3-phenylpropanoate degradation|unclassified	121.3469015762	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|unclassified	509.6048331311	658.3380789110
PANTO-PWY: phosphopantothenate biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	405.7494758456	889.5386877982
PANTO-PWY: phosphopantothenate biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	218.2121334515	490.7410106057
PANTO-PWY: phosphopantothenate biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	622.4470388066	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Massilia.s__Massilia_sp_LC238	1631.9742914494	1366.8989695882
PANTO-PWY: phosphopantothenate biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	26.2119269417	26.8222879510
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	925.8287687455	1701.0883060580
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	0	648.3214587538
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	248.3214638985	548.5363206620
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	946.0080807292	1529.2971464501
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	171.3589552866	175.2792472224
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Acidovorax.s__Acidovorax_avenae	658.3030328415	1619.4054528919
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Caulobacter.s__Caulobacter_sp_774	226.5998999896	508.1433776842
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Massilia.s__Massilia_sp_BSC265	701.6789935180	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Massilia.s__Massilia_sp_LC238	1999.7376313133	1552.4182692542
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Sphingobium.s__Sphingobium_yanoikuyae	22.0960809490	51.0405516416
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	883.4154259752	1264.0506283376
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified	241.5213101090	785.5295240202
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II|unclassified	0	72.1410965363
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified	181.4379920514	175.4560447600
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)|unclassified	144.8466849066	192.6741062865
PPGPPMET-PWY: ppGpp biosynthesis|unclassified	159.5366425941	389.6095531699
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)|unclassified	171.2927886659	326.1559583313
PWY-1042: glycolysis IV (plant cytosol)|unclassified	360.2528110381	455.8413275453
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	576.7807502245	1261.4964813912
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|unclassified	1093.3121757575	1567.7666760795
PWY-1361: benzoyl-CoA degradation I (aerobic)|unclassified	75.2912939292	96.7452722334
PWY-1501: mandelate degradation I|unclassified	108.9387406835	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)|unclassified	82.3464107169	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|g__Caulobacter.s__Caulobacter_sp_774	301.0372357934	574.4746935137
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|g__Sphingobium.s__Sphingobium_yanoikuyae	28.0214744866	60.3017977686
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified	244.8361068094	329.3221153817
PWY-2723: trehalose degradation V|g__Massilia.s__Massilia_sp_BSC265	414.6165428053	0
PWY-2723: trehalose degradation V|g__Massilia.s__Massilia_sp_LC238	2295.2629477186	1722.5869876183
PWY-2723: trehalose degradation V|unclassified	604.0396949769	1064.2064042034
PWY-2941: L-lysine biosynthesis II|unclassified	449.4638114395	379.0045951461
PWY-2942: L-lysine biosynthesis III|g__Acidovorax.s__Acidovorax_avenae	733.7280899155	1572.3635340207
PWY-2942: L-lysine biosynthesis III|g__Caulobacter.s__Caulobacter_sp_774	289.9508755986	616.6854631472
PWY-2942: L-lysine biosynthesis III|g__Massilia.s__Massilia_sp_BSC265	858.7555470599	0
PWY-2942: L-lysine biosynthesis III|g__Massilia.s__Massilia_sp_LC238	2668.1466298887	2189.6953150059
PWY-2942: L-lysine biosynthesis III|g__Sphingobium.s__Sphingobium_yanoikuyae	25.0177732197	60.4881654370
PWY-2942: L-lysine biosynthesis III|unclassified	438.8900179327	666.9400750687
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	811.4191037108	1999.7040643265
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	303.1897186370	617.4987330095
