taxid	domain	phylum	class	order	family	genus	species	5492_S3	5501_S5
1104780	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinicella	Sphingosinicella sp. YJ22	5.186514981383023	16.32187965646776
1105204	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. WS11	124.1266256548752	0.0
1107881	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	0.0	195.36095615936367
1108140	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia catarinensis	12.05410047160925	0.0
1110389	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Verminephrobacter	Verminephrobacter aporrectodeae	0.0	2.1436124586161354
1111	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	NA	1.514688369981639	14.387089056705484
1112216	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. PAMC 26617	2.8137028443403485	7.636172099147885
1114943	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces tsukubensis	0.0	20.74853989571938
111527	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	NA	139.54484360586358	139.66326362896217
1121276	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinilyticum	Chitinilyticum litopenaei	14.477362292465601	15.881057246498516
1121961	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hirschia	Hirschia maritima	4.495991173014432	0.0
1123367	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera linaloolentis	71.42435447500173	0.0
1127483	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus basilensis	0.0	6.829254528546561
1128670	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga makkahensis	5.830981243032915	8.05003459240372
1128983	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus	1.9463755536393823	0.0
1129897	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea	Nitrolancea hollandica	0.0	1.7296645139602564
1131492	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA	4.166560926631581	0.0
1131551	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera sp. 1P/1	0.0	5.345198701158459
1134413	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus ligniniphilus	1.3385437082135092	0.0
1136105	Bacteria	Cyanobacteria	NA	Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix campylonemoides	2.2620304609516224	8.851226919202198
1137989	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus normandii	57.86886183025291	74.8011861610527
1138374	Eukaryota	Microsporidia	NA	NA	NA	Nematocida	Nematocida sp. 1	3.568411747074181	6.415370672440714
1141883	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia putida	231.21289734402953	192.30265055184256
1141889	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas spermidinifaciens	3.4526390061024728	43.121126374946485
1141890	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas guangdongensis	0.0	18.6790351637901
114248	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Tepidimonas	NA	2.472773184472463	3.306691464594598
114249	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Tepidimonas	Tepidimonas ignava	13.361599756265075	0.0
1144315	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. CF313	171.44928753526278	0.0
1144318	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas sp. CF318	0.0	5.995654758281966
1144319	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. CF444	0.0	2.4951381555409684
1144329	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. GM33	6.049090778317605	0.0
1147111	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium euwallaceae	2.6479395975239846	2.5965689673914154
115547	Archaea	NA	NA	NA	NA	NA	uncultured archaeon	87.5878781624888	74.53534685552049
115553	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sulfidaeris	0.0	17.983012147593932
1157641	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. PgraA7	0.0	4.94592703445988
1158293	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium AB_14	69.98373350784904	0.0
1159870	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella sp. FB-8	9.567991161775675	26.413198655936725
1160705	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes	0.0	3.4831058799823387
1162282	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter sp. 115	0.0	8.928816790440788
1164594	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia yuzhufengensis	9674.9663722891	6895.048709886138
1166323	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas carotinifaciens	4.041684483317554	3.614337867597608
1166337	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jatrophae	0.0	4.68476619307999
1166340	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. S6-262	5.354174832854037	33.848495876434704
1169855	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	Rhodobacteraceae bacterium PD-2	2.8892675666334884	6.144788814206138
1169913	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium	Vulcaniibacterium thermophilum	3.3929658343893436	0.0
1175306	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. GW103	0.0	4.593440009284568
1176533	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. Gr-4	7.317380257270992	0.0
117681	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas gingeri	59.45232707428999	72.30628299686187
1177594	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. C448	11.275594171524446	16.22963487012188
1177931	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Thiovulum	Thiovulum sp. ES	1.0430726672786437	2.438718868662908
1177982	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax wautersii	450.8652506403683	1129.29459865206
1183412	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium deltaense	49.532306124351855	0.0
1183421	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	52.97446389420495	0.0
1183424	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	3.275496131358212	0.0
1183429	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium genomosp. 1	0.0	4.6347984869051375
1183432	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium genomosp. 3	47.406791270015944	0.0
1183435	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium genomosp. 5	0.0	2.182877376935664
118562	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira platensis	10.451609288247102	0.0
1185650	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides abscessus	363.87162862683005	373.56004539984184
1188315	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. AgN23	9.24584787011858	0.0
1188795	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Xanthomonas citri phage CP2	3.6657774407660284	5.764508721167004
118884	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	13.68967243300039	0.0
119045	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	NA	NA	5.827766997249772	15.49289426180546
1190567	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	49.13689400024672	0.0
119059	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	4.437276285758389	7.854115894956279
119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA	1617.1264629474385	2812.358704307537
119065	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	NA	4.132581756924071	0.0
119219	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans	22.693733156040444	91.2535928310854
1193181	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera	Tetrasphaera elongata	0.0	2.003749879596574
1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	2.743488543599273	0.0
1198452	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. HH01	3.7690325910170506	5.53874612225472
120107	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium cloacae	4.282693024274696	4.688590143231892
120212	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Subtercola	NA	0.0	1.5919382199417578
1206458	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. MBES04	13.92467173184122	8.506515971430753
1207504	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomultivorans	16.826616603271574	77.48542826488773
1208590	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis	0.0	11.923055210779987
1208662	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus	117.79384274874106	0.0
1208663	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii	0.0	25.799614877931553
1208664	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii	2.3362176493377014	0.0
1214102	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium fortuitum	0.0	4.371479997674175
1217052	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. A12	18.348132750009952	24.503295776436826
1217718	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp. BIS7	1.1803868442752654	6.212444960189789
1219043	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas changbaiensis	0.0	5.95683845981266
1223565	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Pop5	95.74489528250288	0.0
1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	100110.5126137728	74508.46249920754
1224748	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus isronensis	0.0	3.102847149793215
1226301	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia terrestris	204.8280521018889	175.41019053444103
1226660	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	2.2662828482299417	5.605590479937965
1226663	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	133.49736993256732	0.0
1229	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus oceani	16.415053393212638	0.0
1229488	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	beta proteobacterium FWI2	0.0	5.653528715361809
1229514	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp. GA3-3	10.310202438048343	0.0
1229970	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Glaciimonas	NA	1.3533372245197752	0.0
1231	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira multiformis	16.07400394778762	4.721937552098478
1231053	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. BoFeN1	49.96105856185977	58.43997749771539
1231063	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium gorillae	0.0	3.302440257442484
1231392	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceaniovalibus	Oceaniovalibus guishaninsula	9.211748914853933	0.0
1232866	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia udeis	16.72423988043955	5.980828940374592
1234381	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera aminoaromatica	171.387717758895	124.92306802443106
1234595	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Pacificimonas	Pacificimonas flava	0.664470449691563	6.128403508247988
1236	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	1309.4315454779824	1249.688721111388
123899	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella trematum	36.95993347553524	40.32169578385418
1239	Bacteria	Firmicutes	NA	NA	NA	NA	NA	8.911985558121703	0.0
1240557	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALJ3	8.285487130042176	0.0
1241583	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	43.764611584005664	46.42439978353939
1242992	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira sp. B5-022	21.766013980283535	18.421719635412124
1245436	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia kirstenboschensis	2.7430692941492976	0.0
1245441	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia steynii	51.442187011583876	0.0
1245745	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana	93.76651702084872	0.0
1247510	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Verticiella	Verticiella sediminum	0.0	4.472398101124368
1247936	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia ribeironis	28.67728127034527	146.1657733665962
1249477	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	6.529650469286736	14.836648872329073
1249621	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp. HMR-1	3.788218244418294	6.001422727784835
1249667	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis	521.362764367032	0.0
1249668	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis	31.334504248547276	26.030718189346494
1250539	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca	Pelagibaca abyssi	9.424008922098494	0.0
125216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	NA	7.111987955302217	0.0
1262663	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	43.77331600115753	30.19984927172003
1262769	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:1013	2.3165528537079143	0.0
1262921	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:1185	69.3959657432434	4.603843717239743
1262935	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:755	21.908039722527498	52.215462527269594
1263057	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis CAG:119	2.390999577467787	0.0
1267562	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus gilardii	0.0	4.227173945852405
1267766	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter atlanticus	0.0	3.4745393771280777
1268	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	0.0	3.9306575877049306
1268043	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Diaminobutyricibacter	Diaminobutyricibacter tongyongensis	2.6717369948749545	0.0
1268622	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. MR-S7	37.271395888347726	0.0
1270	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	1.784764872803724	6.073885515020875
1275	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria rosea	0.0	6.778154591321146
1275962	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii	3.610735977262148	3.01276001129841
1276756	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. JHL-9	0.0	3.2756298806791495
1280	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	0.0	4.343772381210395
